Date,Hospital ID,Drug ID,Units Demanded
01-01-2024,H001,D001,12
01-01-2024,H001,D002,111
01-01-2024,H001,D003,48
01-01-2024,H001,D004,105
01-01-2024,H001,D005,40
01-01-2024,H001,D006,60
01-01-2024,H001,D007,44
01-01-2024,H001,D008,292
01-01-2024,H001,D009,83
01-01-2024,H001,D010,70
01-01-2024,H001,D011,55
01-01-2024,H001,D012,32
01-01-2024,H001,D013,72
01-01-2024,H001,D014,31
01-01-2024,H001,D015,50
01-01-2024,H001,D016,23
01-01-2024,H001,D017,30
01-01-2024,H001,D018,25
01-01-2024,H001,D019,53
01-01-2024,H001,D020,36
01-01-2024,H002,D001,5
01-01-2024,H002,D002,33
01-01-2024,H002,D003,16
01-01-2024,H002,D004,43
01-01-2024,H002,D005,19
01-01-2024,H002,D006,30
01-01-2024,H002,D007,20
01-01-2024,H002,D008,291
01-01-2024,H002,D009,90
01-01-2024,H002,D010,65
01-01-2024,H002,D011,83
01-01-2024,H002,D012,35
01-01-2024,H002,D013,77
01-01-2024,H002,D014,48
01-01-2024,H002,D015,78
01-01-2024,H002,D016,35
01-01-2024,H002,D017,17
01-01-2024,H002,D018,13
01-01-2024,H002,D019,24
01-01-2024,H002,D020,16
01-01-2024,H003,D001,7
01-01-2024,H003,D002,64
01-01-2024,H003,D003,26
01-01-2024,H003,D004,72
01-01-2024,H003,D005,26
01-01-2024,H003,D006,43
01-01-2024,H003,D007,30
01-01-2024,H003,D008,173
01-01-2024,H003,D009,53
01-01-2024,H003,D010,40
01-01-2024,H003,D011,45
01-01-2024,H003,D012,20
01-01-2024,H003,D013,47
01-01-2024,H003,D014,23
01-01-2024,H003,D015,35
01-01-2024,H003,D016,18
01-01-2024,H003,D017,18
01-01-2024,H003,D018,15
01-01-2024,H003,D019,31
01-01-2024,H003,D020,23
01-01-2024,H004,D001,8
01-01-2024,H004,D002,60
01-01-2024,H004,D003,32
01-01-2024,H004,D004,159
01-01-2024,H004,D005,66
01-01-2024,H004,D006,105
01-01-2024,H004,D007,71
01-01-2024,H004,D008,184
01-01-2024,H004,D009,47
01-01-2024,H004,D010,48
01-01-2024,H004,D011,37
01-01-2024,H004,D012,15
01-01-2024,H004,D013,33
01-01-2024,H004,D014,20
01-01-2024,H004,D015,32
01-01-2024,H004,D016,15
01-01-2024,H004,D017,21
01-01-2024,H004,D018,14
01-01-2024,H004,D019,84
01-01-2024,H004,D020,55
01-01-2024,H005,D001,3
01-01-2024,H005,D002,25
01-01-2024,H005,D003,11
01-01-2024,H005,D004,27
01-01-2024,H005,D005,12
01-01-2024,H005,D006,18
01-01-2024,H005,D007,15
