Distributor ID,D001,D002,D003,D004,D005,D006,D007,D008,D009,D010,D011,D012,D013,D014,D015,D016,D017,D018,D019,D020
S001,844,6375,2294,3815,1679,2518,1827,12120,3416,2320,3756,1869,3431,1140,3440,1271,1377,943,2292,1280
S002,279,1541,619,1094,568,938,590,3374,1048,581,1394,454,835,436,1333,472,424,253,760,412
S003,239,1725,568,1280,534,906,611,3380,1034,608,1540,546,1087,429,1204,487,394,262,622,398
S004,261,1609,725,1091,538,875,578,3665,890,770,1460,458,818,420,1243,462,487,251,689,372
S005,299,1792,627,991,543,819,693,3499,1138,666,1196,536,1035,391,1265,431,453,282,617,371
S006,754,5846,2026,3715,2101,2597,2049,11757,3045,1907,4111,1472,3522,1363,3955,1560,1596,848,2616,1381
S007,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S008,91,0,0,0,0,0,0,0,0,0,383,0,0,0,310,0,124,0,0,0
S009,50,284,110,146,87,126,89,447,146,114,192,76,153,55,200,74,62,50,102,59
S010,0,6448,2954,4944,2160,3495,3152,13422,3949,2903,6702,2015,4375,1795,4671,2000,1873,1298,3245,1840
